"Visitor arrivals by country of citizenship and visa type (Monthly)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","New Zealand","","","","","","","Australia","","","","","","","China, People's Republic of","","","","","","","Japan","","","","","","","Korea, Republic of","","","","","","","Germany","","","","","","","United Kingdom","","","","","","","Canada","","","","","","","United States of America","","","","","","","TOTAL ALL CITIZENSHIPS","","","","","",""
" ","Residence","Student","Visitor","Work","New Zealand and Australian citizens","Other","TOTAL","Residence","Student","Visitor","Work","New Zealand and Australian citizens","Other","TOTAL","Residence","Student","Visitor","Work","New Zealand and Australian citizens","Other","TOTAL","Residence","Student","Visitor","Work","New Zealand and Australian citizens","Other","TOTAL","Residence","Student","Visitor","Work","New Zealand and Australian citizens","Other","TOTAL","Residence","Student","Visitor","Work","New Zealand and Australian citizens","Other","TOTAL","Residence","Student","Visitor","Work","New Zealand and Australian citizens","Other","TOTAL","Residence","Student","Visitor","Work","New Zealand and Australian citizens","Other","TOTAL","Residence","Student","Visitor","Work","New Zealand and Australian citizens","Other","TOTAL","Residence","Student","Visitor","Work","New Zealand and Australian citizens","Other","TOTAL"
"2003M07",0,0,0,0,19404,0,19404,0,0,0,0,38970,0,38970,378,792,2286,72,0,72,3600,18,306,8586,594,0,0,9504,108,630,11844,270,0,18,12870,108,306,1854,90,0,18,2376,846,72,13104,630,0,18,14670,36,36,1728,36,0,0,1836,216,468,14022,126,0,18,14850,3888,3888,76356,2412,58374,648,145566
"2003M08",0,0,0,0,17459,0,17459,0,0,0,0,40222,0,40222,306,595,3196,68,0,68,4233,51,102,11407,340,0,0,11900,68,102,7548,153,0,0,7871,51,17,1955,221,0,0,2244,748,0,12920,544,0,17,14229,85,0,1241,68,0,0,1394,221,17,10030,51,0,51,10370,3196,1105,70346,2057,57681,765,135150
"2003M09",0,0,0,0,18352,0,18352,0,0,0,0,48608,0,48608,400,464,4912,64,0,64,5904,48,144,10400,416,0,0,11008,112,32,7760,128,0,0,8032,128,48,2272,224,0,0,2672,1184,32,11696,656,0,16,13584,48,16,1888,144,0,0,2096,128,224,9104,144,0,96,9696,3472,1216,73008,2800,66960,672,148128
"2003M10",0,0,0,0,18943,0,18943,0,0,0,0,40052,0,40052,247,266,5738,133,0,114,6498,95,57,11799,380,0,0,12331,95,152,9120,171,0,0,9538,114,57,4655,266,0,0,5092,722,19,16625,665,0,19,18050,19,0,2660,76,0,19,2774,133,0,15181,323,0,133,15770,3249,950,98534,2907,58995,969,165604
"2003M11",0,0,0,0,20197,0,20197,0,0,0,0,42256,0,42256,228,228,6707,76,0,76,7315,95,114,17651,608,0,19,18487,114,76,13927,152,0,19,14288,152,38,7847,76,0,0,8113,912,57,25479,855,0,0,27303,57,0,4807,114,0,0,4978,95,95,20235,266,0,114,20805,3477,798,140467,3496,62453,1007,211698
"2003M12",0,0,0,0,56804,0,56804,0,0,0,0,59906,0,59906,374,176,9196,176,0,132,10054,66,44,16324,550,0,22,17006,176,44,11726,242,0,0,12188,110,22,7788,66,0,22,8008,1452,0,38588,638,0,44,40722,110,0,5984,66,0,0,6160,220,88,24948,66,0,132,25454,5258,506,170302,2750,116710,1386,296912
"2004M01",0,0,0,0,23850,0,23850,0,0,0,0,48800,0,48800,725,775,7375,275,0,250,9400,75,625,13800,550,0,25,15075,50,475,18850,350,0,0,19725,100,275,7825,75,0,0,8275,875,25,37575,1050,0,0,39525,50,150,6050,50,0,0,6300,225,175,24550,350,0,175,25475,4275,3625,158625,3750,72650,1050,243975
"2004M02",0,0,0,0,26040,0,26040,0,0,0,0,50715,0,50715,273,1260,5712,105,0,21,7371,63,294,16107,693,0,21,17178,63,147,11109,189,0,0,11508,126,189,10059,42,0,0,10416,1218,84,40362,735,0,42,42441,105,84,5586,168,0,21,5964,147,1008,21147,504,0,0,22806,3150,4011,149814,3339,76755,714,237783
"2004M03",0,0,0,0,24654,0,24654,0,0,0,0,54075,0,54075,273,336,5880,231,0,168,6888,42,126,16569,441,0,0,17178,0,21,8694,168,0,0,8883,84,42,6195,168,0,21,6510,1428,0,27069,756,0,21,29274,84,0,4893,84,0,0,5061,210,42,22302,273,0,42,22869,4053,840,124341,2835,78729,945,211743
"2004M04",0,0,0,0,26229,0,26229,0,0,0,0,55440,0,55440,336,231,6174,126,0,126,6993,63,378,11487,546,0,21,12495,147,294,6993,168,0,0,7602,105,42,2583,168,0,0,2898,1218,21,19173,441,0,21,20874,42,42,2709,84,0,0,2877,189,105,14553,147,0,21,15015,4284,1491,93660,2604,81669,840,184548
"2004M05",0,0,0,0,19062,0,19062,0,0,0,0,35370,0,35370,270,90,5454,252,0,72,6138,18,36,11448,522,0,0,12024,18,54,7146,54,0,0,7272,18,36,1476,90,0,0,1620,738,18,10584,612,0,18,11970,54,0,1800,198,0,0,2052,144,72,10422,324,0,36,10998,2862,576,70614,3546,54432,720,132750
"2004M06",0,0,0,0,20096,0,20096,0,0,0,0,39520,0,39520,224,144,4384,176,0,80,5008,80,80,7408,496,0,0,8064,96,48,6736,96,0,0,6976,48,48,1168,96,0,16,1376,832,16,10480,816,0,16,12160,32,0,1552,128,0,16,1728,96,256,14320,304,0,32,15008,3088,832,67072,2896,59616,768,134272
"2004M07",0,0,0,0,21500,0,21500,0,0,0,0,54600,0,54600,340,700,5220,160,0,100,6520,100,380,10240,440,0,0,11160,80,300,10360,120,0,0,10860,80,400,1700,200,0,0,2380,920,20,14320,460,0,0,15720,20,40,2260,60,0,0,2380,300,480,14620,120,0,0,15520,3680,3480,85160,2360,76100,840,171620
"2004M08",0,0,0,0,18568,0,18568,0,0,0,0,48554,0,48554,418,330,4994,220,0,44,6006,44,110,13904,374,0,0,14432,88,66,7172,242,0,22,7590,132,66,1914,374,0,0,2486,902,22,12672,462,0,0,14058,44,0,1936,88,0,0,2068,176,88,11594,242,0,0,12100,3454,990,75416,2706,67122,550,150238
"2004M09",0,0,0,0,21920,0,21920,0,0,0,0,59080,0,59080,480,100,5640,220,0,20,6460,40,180,10480,540,0,20,11260,160,100,6860,240,0,0,7360,80,60,2320,320,0,0,2780,1100,0,10860,680,0,0,12640,20,0,1820,140,0,0,1980,120,280,9480,260,0,40,10180,3480,980,70480,3240,81000,480,159660
"2004M10",0,0,0,0,20811,0,20811,0,0,0,0,46641,0,46641,189,189,6720,189,0,63,7350,84,105,11613,420,0,0,12222,63,21,9261,231,0,0,9576,105,84,5250,294,0,0,5733,1071,0,17850,861,0,21,19803,21,0,2919,126,0,0,3066,147,21,16737,294,0,42,17241,3381,777,103194,3633,67452,819,179256
"2004M11",0,0,0,0,21168,0,21168,0,0,0,0,44205,0,44205,252,147,9429,273,0,42,10143,0,105,19656,651,0,0,20412,63,42,12096,210,0,42,12453,168,0,8043,210,0,42,8463,1281,0,25851,882,0,21,28035,21,21,4389,252,0,0,4683,168,147,21315,210,0,126,21966,3780,609,144039,4137,65373,945,218883
"2004M12",0,0,0,0,61675,0,61675,0,0,0,0,71225,0,71225,275,75,9725,250,0,100,10425,50,75,14500,350,0,0,14975,75,0,10300,175,0,0,10550,150,50,7550,150,0,0,7900,1375,25,39850,675,0,0,41925,50,25,5375,125,0,0,5575,300,100,23950,150,0,25,24525,5125,450,166775,3100,132900,1075,309425
"2005M01",0,0,0,0,24940,0,24940,0,0,0,0,53273,0,53273,348,435,5800,377,0,29,6989,174,899,14877,551,0,0,16501,174,377,16878,174,0,29,17632,87,261,8671,261,0,0,9280,1392,58,38454,1044,0,29,40977,116,174,5684,261,0,0,6235,203,232,22156,580,0,261,23432,4147,3480,155498,4582,78213,754,246674
"2005M02",0,0,0,0,25454,0,25454,0,0,0,0,52008,0,52008,484,594,8624,198,0,110,10010,66,352,15158,308,0,0,15884,110,242,11044,220,0,0,11616,132,176,9394,330,0,44,10076,1606,66,42372,660,0,66,44770,66,44,6336,176,0,0,6622,132,1144,23452,550,0,132,25410,4466,3476,157212,3740,77462,1034,247390
"2005M03",0,0,0,0,30900,0,30900,0,0,0,0,60600,0,60600,225,225,4575,225,0,125,5375,25,25,14750,325,0,0,15125,50,100,8675,200,0,0,9025,150,0,7125,175,0,25,7475,1500,0,32450,625,0,75,34650,100,0,4900,25,0,0,5025,250,50,22350,450,0,25,23125,4250,550,131925,3300,91500,1150,232675
"2005M04",0,0,0,0,23568,0,23568,0,0,0,0,50136,0,50136,408,120,6120,264,0,120,7032,120,192,11664,408,0,0,12384,72,120,7512,168,0,0,7872,216,0,2400,288,0,0,2904,1056,24,16008,768,0,0,17856,24,0,2568,168,0,0,2760,96,360,13920,288,0,24,14688,4080,1224,90192,3192,73704,888,173280
"2005M05",0,0,0,0,18373,0,18373,0,0,0,0,37430,0,37430,228,95,4598,76,0,38,5035,57,152,9728,380,0,0,10317,95,76,7182,114,0,0,7467,76,0,1710,76,0,19,1881,893,0,11305,646,0,0,12844,95,0,1748,152,0,0,1995,38,57,11438,285,0,38,11856,2869,722,70756,3382,55803,703,134235
"2005M06",0,0,0,0,22895,0,22895,0,0,0,0,41363,0,41363,247,171,4047,152,0,114,4731,57,95,9025,418,0,0,9595,114,95,6973,133,0,19,7334,133,95,1216,133,0,0,1577,1102,38,24662,627,0,19,26448,57,0,1349,76,0,0,1482,209,285,13509,304,0,19,14326,3876,969,83239,3059,64258,760,156161
"2005M07",0,0,0,0,21192,0,21192,0,0,0,0,49488,0,49488,456,600,5208,240,0,96,6600,96,240,9936,480,0,0,10752,24,192,9840,144,0,0,10200,48,552,2016,120,0,0,2736,1080,0,18096,312,0,0,19488,48,96,2232,24,0,0,2400,192,576,13056,240,0,0,14064,3960,3456,85848,2568,70680,456,166968
"2005M08",0,0,0,0,19110,0,19110,0,0,0,0,49203,0,49203,273,189,5859,441,0,42,6804,21,105,12180,315,0,0,12621,42,147,7980,231,0,21,8421,189,63,1974,378,0,0,2604,756,21,12411,504,0,0,13692,21,21,1932,63,0,0,2037,84,84,10626,231,0,63,11088,3024,966,74088,3087,68313,525,150003
"2005M09",0,0,0,0,23034,0,23034,0,0,0,0,63030,0,63030,308,132,5280,264,0,132,6116,44,154,8998,374,0,0,9570,110,44,6248,220,0,0,6622,220,22,2508,396,0,0,3146,1562,0,10472,572,0,22,12628,110,22,2002,88,0,0,2222,154,176,9306,418,0,0,10054,4268,968,67298,3454,86064,704,162756
"2005M10",0,0,0,0,22149,0,22149,0,0,0,0,45862,0,45862,115,0,6233,230,0,115,6693,46,92,11385,621,0,0,12144,115,115,8878,207,0,23,9338,115,46,4692,759,0,0,5612,1196,0,17986,943,0,0,20125,23,69,3013,184,0,0,3289,184,46,14766,391,0,46,15433,3174,805,98279,4692,68011,644,175605
"2005M11",0,0,0,0,21850,0,21850,0,0,0,0,45816,0,45816,92,92,10971,299,0,115,11569,92,0,16583,253,0,0,16928,115,46,10304,230,0,23,10718,92,23,7452,529,0,23,8119,1702,0,25461,851,0,23,28037,46,0,4623,253,0,0,4922,115,92,20125,437,0,115,20884,4094,414,135815,5060,67666,1058,214107
"2005M12",0,0,0,0,63275,0,63275,0,0,0,0,69325,0,69325,200,100,10600,300,0,125,11325,300,50,13050,625,0,0,14025,175,25,10900,75,0,0,11175,325,50,7750,75,0,50,8250,1525,0,38200,575,0,50,40350,100,25,5050,100,0,25,5300,175,125,22375,150,0,100,22925,5150,475,162725,3525,132600,1200,305675
"2006M01",0,0,0,0,25454,0,25454,0,0,0,0,55432,0,55432,598,182,6890,390,0,182,8242,52,520,14456,416,0,0,15444,130,286,12974,182,0,0,13572,130,416,8554,338,0,0,9438,1248,52,39390,1222,0,52,41964,0,182,6058,312,0,0,6552,182,182,22620,468,0,182,23634,4264,2366,155038,4966,80886,1040,248560
